"hv000","hv001","hv006","hv007","hv010","hv011","hv012","hv013","hv014","hv024","hv025","hv040","hv045c","hv201","hv204","hv205","hv206","hv207","hv208","hv209","hv210","hv211","hv212","hv213","hv214","hv215","hv216","hv217","hv219","hv220","hv221","hv226","hv227","hv230a","hv237","hv241","hv243a","hv243b","hv243c","hv243d","hv243e","hv244","hv245","hv246","hv246a","hv246b","hv246c","hv246d","hv246e","hv246f","hv247","hv270","hv271","hv270a","hv271a","hml1"
"SL7","1","7","2019",0,1,1,1,0,"4","2",46,"4","14",20,"31","0","0","0","0","0","0","0","11","21","22",3,"1","1",48,"0","8","1","3","1","2","0","1","0","0","0","1",20,"1","0","0","0","0","0","6","0","1",-102100,"1",-88780,3
"SL7","1","7","2019",0,0,5,5,0,"4","2",46,"4","21",25,"23","0","0","0","0","0","0","0","11","21","31",2,"2","1",76,"0","8","1","2","1","2","0","0","0","0","0","1",1,"1","0","0","0","0","0","1","0","1",-89700,"1",-64339,2
"SL7","1","7","2019",1,0,1,1,0,"4","2",46,"4","43",60,"23","0","0","0","0","0","0","0","34","21","12",1,"1","2",35,"0","8","0","2","0","2","0","0","0","0","0","1",11,"0","0","0","0","0","0","0","0","1",-88194,"2",-61372,0
"SL7","1","7","2019",1,0,5,5,0,"4","2",46,"4","14",20,"22","0","0","0","0","0","0","0","11","13","22",4,"2","1",73,"0","8","1","3","1","2","0","0","0","0","0","1",105,"1","0","0","0","0","0","20","0","1",-94742,"1",-74278,4
"SL7","1","7","2019",1,0,22,22,1,"4","2",46,"4","43",30,"31","0","0","0","0","0","0","0","11","21","31",4,"5","1",58,"0","8","1","3","0","2","1","1","0","0","0","1",105,"1","0","0","0","0","0","20","0","1",-88105,"2",-61196,4
"SL7","1","7","2019",2,0,8,8,1,"4","2",46,"4","43",40,"31","0","0","0","0","0","0","0","34","31","31",4,"5","1",60,"0","8","1","3","0","2","0","0","0","0","0","1",45,"0","0","0","0","0","0","0","0","2",-54407,"3",5222,1
"SL7","1","7","2019",0,1,5,5,2,"4","2",46,"4","43",40,"22","0","0","0","0","0","0","0","11","21","22",2,"2","2",60,"0","8","1","3","0","2","0","0","0","0","0","1",65,"0","0","0","0","0","0","0","0","1",-106426,"1",-97307,2
"SL7","1","7","2019",0,0,2,2,1,"4","2",46,"4","43",20,"23","0","0","0","0","0","0","0","11","21","12",1,"1","2",51,"0","8","1","2","0","2","1","0","0","0","0","1",11,"1","0","0","0","0","0","10","0","1",-107452,"1",-99328,1
"SL7","1","7","2019",1,0,8,8,2,"4","2",46,"4","21",30,"23","0","1","0","0","0","0","0","11","21","31",3,"2","1",41,"0","8","1","2","1","2","1","0","0","0","0","1",65,"1","0","0","0","0","0","20","0","2",-73153,"3",-31726,3
"SL7","1","7","2019",1,0,10,10,1,"4","2",46,"4","21",35,"23","0","0","0","0","0","0","0","34","31","31",4,"4","1",31,"0","8","0","2","1","2","0","0","0","0","0","0",NA,"1","0","0","0","3","0","5","0","3",-40752,"4",32136,0
